condition,seed_id,repeat_index,lambda1_mean,lambda1_std,lambda1_cv,layerwise_variance_mean,profile_slope_mean,n_tangent_seeds,n_valid,nan_count,renorm_cadence,model_id,compute_time_s
HETERO_ROT,creative_rewrite_0,2,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,creative_rewrite_0,3,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.07
HETERO_ROT,creative_rewrite_0,4,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,creative_rewrite_1,0,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,creative_rewrite_1,1,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,creative_rewrite_1,2,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,creative_rewrite_1,3,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,creative_rewrite_1,4,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,creative_rewrite_2,0,0.0915361,0.00414199,0.04525,0.1172072,-0.01061734,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,creative_rewrite_2,1,0.0915361,0.00414199,0.04525,0.1172072,-0.01061734,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.06
HETERO_ROT,creative_rewrite_2,2,0.0915361,0.00414199,0.04525,0.1172072,-0.01061734,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.09
HETERO_ROT,creative_rewrite_2,3,0.0915361,0.00414199,0.04525,0.1172072,-0.01061734,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,creative_rewrite_2,4,0.0915361,0.00414199,0.04525,0.1172072,-0.01061734,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.12
HETERO_ROT,creative_rewrite_3,0,0.09084488,0.00311502,0.034289,0.11970741,-0.01117935,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.16
HETERO_ROT,creative_rewrite_3,1,0.09084488,0.00311502,0.034289,0.11970741,-0.01117935,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,creative_rewrite_3,2,0.09084488,0.00311502,0.034289,0.11970741,-0.01117935,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,creative_rewrite_3,3,0.09084488,0.00311502,0.034289,0.11970741,-0.01117935,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,creative_rewrite_3,4,0.09084488,0.00311502,0.034289,0.11970741,-0.01117935,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,creative_rewrite_4,0,0.08865873,0.00381945,0.04308,0.11935691,-0.01050078,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,creative_rewrite_4,1,0.08865873,0.00381945,0.04308,0.11935691,-0.01050078,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,creative_rewrite_4,2,0.08865873,0.00381945,0.04308,0.11935691,-0.01050078,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.1
HETERO_ROT,creative_rewrite_4,3,0.08865873,0.00381945,0.04308,0.11935691,-0.01050078,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,creative_rewrite_4,4,0.08865873,0.00381945,0.04308,0.11935691,-0.01050078,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,creative_rewrite_5,0,0.09112194,0.0040895,0.044879,0.12715573,-0.01169816,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.04
HETERO_ROT,creative_rewrite_5,1,0.09112194,0.0040895,0.044879,0.12715573,-0.01169816,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,creative_rewrite_5,2,0.09112194,0.0040895,0.044879,0.12715573,-0.01169816,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.1
HETERO_ROT,creative_rewrite_5,3,0.09112194,0.0040895,0.044879,0.12715573,-0.01169816,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,creative_rewrite_5,4,0.09112194,0.0040895,0.044879,0.12715573,-0.01169816,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.25
HETERO_ROT,factual_qa_0,0,0.0813731,0.00222743,0.027373,0.12544339,-0.01206821,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.45
HETERO_ROT,factual_qa_0,1,0.0813731,0.00222743,0.027373,0.12544339,-0.01206821,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.41
HETERO_ROT,factual_qa_0,2,0.0813731,0.00222743,0.027373,0.12544339,-0.01206821,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.5
HETERO_ROT,factual_qa_0,3,0.0813731,0.00222743,0.027373,0.12544339,-0.01206821,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.3
HETERO_ROT,factual_qa_0,4,0.0813731,0.00222743,0.027373,0.12544339,-0.01206821,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,factual_qa_1,0,0.07632615,0.00249461,0.032684,0.12064871,-0.01256789,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.16
HETERO_ROT,factual_qa_1,1,0.07632615,0.00249461,0.032684,0.12064871,-0.01256789,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.21
HETERO_ROT,factual_qa_1,2,0.07632615,0.00249461,0.032684,0.12064871,-0.01256789,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,factual_qa_1,3,0.07632615,0.00249461,0.032684,0.12064871,-0.01256789,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.27
HETERO_ROT,factual_qa_1,4,0.07632615,0.00249461,0.032684,0.12064871,-0.01256789,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.16
HETERO_ROT,factual_qa_2,0,0.08480223,0.00323753,0.038177,0.11080225,-0.01220962,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,factual_qa_2,1,0.08480223,0.00323753,0.038177,0.11080225,-0.01220962,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.3
HETERO_ROT,factual_qa_2,2,0.08480223,0.00323753,0.038177,0.11080225,-0.01220962,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.23
HETERO_ROT,factual_qa_2,3,0.08480223,0.00323753,0.038177,0.11080225,-0.01220962,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.23
HETERO_ROT,factual_qa_2,4,0.08480223,0.00323753,0.038177,0.11080225,-0.01220962,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,factual_qa_3,0,0.08077939,0.00340471,0.042148,0.12008638,-0.01156512,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.29
HETERO_ROT,factual_qa_3,1,0.08077939,0.00340471,0.042148,0.12008638,-0.01156512,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,factual_qa_3,2,0.08077939,0.00340471,0.042148,0.12008638,-0.01156512,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,factual_qa_3,3,0.08077939,0.00340471,0.042148,0.12008638,-0.01156512,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.28
HETERO_ROT,factual_qa_3,4,0.08077939,0.00340471,0.042148,0.12008638,-0.01156512,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.3
HETERO_ROT,factual_qa_4,0,0.07380634,0.00200394,0.027151,0.11910885,-0.01216691,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,factual_qa_4,1,0.07380634,0.00200394,0.027151,0.11910885,-0.01216691,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,factual_qa_4,2,0.07380634,0.00200394,0.027151,0.11910885,-0.01216691,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,factual_qa_4,3,0.07380634,0.00200394,0.027151,0.11910885,-0.01216691,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,factual_qa_4,4,0.07380634,0.00200394,0.027151,0.11910885,-0.01216691,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,factual_qa_5,0,0.07969657,0.00236732,0.029704,0.13477857,-0.01327813,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.18
HETERO_ROT,factual_qa_5,1,0.07969657,0.00236732,0.029704,0.13477857,-0.01327813,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.18
HETERO_ROT,factual_qa_5,2,0.07969657,0.00236732,0.029704,0.13477857,-0.01327813,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.05
HETERO_ROT,factual_qa_5,3,0.07969657,0.00236732,0.029704,0.13477857,-0.01327813,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,factual_qa_5,4,0.07969657,0.00236732,0.029704,0.13477857,-0.01327813,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,instruction_following_0,0,0.07919837,0.00219607,0.027729,0.12107543,-0.01037878,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.09
HETERO_ROT,instruction_following_0,1,0.07919837,0.00219607,0.027729,0.12107543,-0.01037878,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,instruction_following_0,2,0.07919837,0.00219607,0.027729,0.12107543,-0.01037878,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,instruction_following_0,3,0.07919837,0.00219607,0.027729,0.12107543,-0.01037878,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.06
HETERO_ROT,instruction_following_0,4,0.07919837,0.00219607,0.027729,0.12107543,-0.01037878,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.07
HETERO_ROT,instruction_following_1,0,0.08522188,0.00265941,0.031206,0.11322435,-0.01131123,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,instruction_following_1,1,0.08522188,0.00265941,0.031206,0.11322435,-0.01131123,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.09
HETERO_ROT,instruction_following_1,2,0.08522188,0.00265941,0.031206,0.11322435,-0.01131123,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
